GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pets,com.ambrosiaandrade.pets.listener,MyKafkaListener,11,58,1,3,3,19,1,7,0,6
pets,com.ambrosiaandrade.pets.listener,DlqKafkaListener,12,0,0,0,4,0,3,0,3,0
pets,com.ambrosiaandrade.pets.service,KafkaProducerService,20,135,0,2,2,34,0,10,0,9
pets,com.ambrosiaandrade.pets.service,ExportService,14,270,0,4,4,60,0,7,0,5
pets,com.ambrosiaandrade.pets.service,AnimalService,0,325,0,3,0,71,0,17,0,15
pets,com.ambrosiaandrade.pets.service,KafkaConsumerService,0,75,0,8,0,22,0,7,0,3
pets,com.ambrosiaandrade.pets.service,AdvanceUtil,0,136,0,5,0,28,0,13,0,10
pets,com.ambrosiaandrade.pets.service,AdvanceService,0,248,0,6,0,54,0,11,0,8
pets,com.ambrosiaandrade.pets.service,AsyncService,0,30,0,0,0,10,0,4,0,4
pets,com.ambrosiaandrade.pets.controller,KafkaController,21,58,0,0,4,15,1,4,1,4
pets,com.ambrosiaandrade.pets.controller,PaginationController,0,49,0,2,0,12,0,7,0,6
pets,com.ambrosiaandrade.pets.controller,ExportController,0,52,0,0,0,13,0,3,0,3
pets,com.ambrosiaandrade.pets.controller,AnimalController,0,67,0,0,0,16,0,7,0,7
pets,com.ambrosiaandrade.pets.controller,AsyncController,0,37,0,4,0,10,0,7,0,5
